"","dark_matter_1.txt","dark_matter_2.txt","dark_matter_3.txt","dark_matter_4.txt","dark_matter_5.txt","info_article_1.txt","info_article_2.txt","mission_overview_1.txt","mission_overview_2.txt","movie_sum_1.txt","movie_sum_2.txt","movie_sum_3.txt","movie_sum_4.txt","nyc_food_1.txt","nyc_food_2.txt","nyc_food_3.txt"
"dark_matter_1.txt",0,54,55,51,34,27,43,23,39,28,28,25,35,11,9,11
"dark_matter_2.txt",54,0,84,73,49,48,72,38,47,62,57,56,67,18,15,21
"dark_matter_3.txt",55,84,0,74,51,63,72,36,57,65,58,63,79,25,26,29
"dark_matter_4.txt",51,73,74,0,40,46,68,28,47,55,50,51,64,22,17,24
"dark_matter_5.txt",34,49,51,40,0,34,50,15,31,46,40,40,46,24,20,20
"info_article_1.txt",27,48,63,46,34,0,53,21,44,56,46,41,50,20,19,21
"info_article_2.txt",43,72,72,68,50,53,0,26,53,60,51,57,61,24,17,29
"mission_overview_1.txt",23,38,36,28,15,21,26,0,31,41,36,37,38,16,11,14
"mission_overview_2.txt",39,47,57,47,31,44,53,31,0,50,41,41,52,17,13,17
"movie_sum_1.txt",28,62,65,55,46,56,60,41,50,0,72,74,78,34,27,24
"movie_sum_2.txt",28,57,58,50,40,46,51,36,41,72,0,61,73,28,28,29
"movie_sum_3.txt",25,56,63,51,40,41,57,37,41,74,61,0,68,26,20,29
"movie_sum_4.txt",35,67,79,64,46,50,61,38,52,78,73,68,0,30,25,26
"nyc_food_1.txt",11,18,25,22,24,20,24,16,17,34,28,26,30,0,20,18
"nyc_food_2.txt",9,15,26,17,20,19,17,11,13,27,28,20,25,20,0,19
"nyc_food_3.txt",11,21,29,24,20,21,29,14,17,24,29,29,26,18,19,0
