"","account","act","ago","also","big","billion","cluster","composit","constant","creat","dark","densiti","detect","discov","earli","effect","element","energi","exist","expect","experi","explain","explan","first","forc","form","found","galaxi","give","graviti","hot","howev","interact","keep","known","larg","light","made","make","mass","matter","may","mean","measur","minut","model","motion","move","must","name","need","new","number","observ","occur","one","orbit","origin","physic","possibl","predict","provid","question","remain","requir","rest","sinc","space","star","suggest","theori","two","univers","way","within","year","abl","actual","anoth","answer","away","begin","black","calcul","call","can","come","complet","continu","correct","differ","dont","due","earth","enough","even","ever","fact","far","final","fraction","get","given","import","includ","just","know","last","less","like","long","mani","mayb","might","much","mysteri","near","never","object","physicist","planet","point","result","right","scientist","second","see","set","show","small","someth","still","system","that","thing","think","thought","three","time","tri","turn","understand","wrong","zero","allow","almost","alon","alway","avail","becom","best","cant","challeng","director","end","find","fli","idea","insid","left","locat","look","note","order","peopl","say","sens","spot","take","there","type","use","wasnt","well","whether","will","world","alreadi","detail","histori","lead","leav","life","present","put","simpli","tell","without","around","everi","feel","good","old","review","shape","watch","work","across","clear","control","explor","happen","isnt","least","live","power","stori","credit","imag","mission","nasa","astronaut","hour","man","part","read"
"without",2,3,2,3,1,1,0,2,2,2,2,1,0,2,1,2,2,2,3,2,2,2,2,5,2,2,2,2,4,3,1,0,0,3,1,2,3,4,3,1,2,1,3,1,4,1,1,1,4,3,2,4,1,1,1,5,2,2,2,4,2,3,1,3,2,2,2,4,4,3,1,4,2,4,1,5,2,1,3,1,3,1,4,0,3,5,4,2,2,2,3,2,1,3,2,5,4,2,1,3,0,3,3,2,5,4,5,2,3,5,5,5,2,3,4,2,4,4,5,1,3,5,2,4,3,3,4,2,4,1,2,4,0,3,4,4,3,2,5,3,1,2,2,3,3,3,3,3,2,4,3,3,1,4,3,2,2,3,2,3,0,4,3,1,4,4,3,1,4,4,3,2,3,3,4,4,4,2,4,3,4,4,4,4,3,3,4,0,2,2,4,3,3,2,1,3,4,2,2,3,2,2,1,2,4,2,4,1,4,4,3,4,2,4,3,4
"around",1,2,1,3,1,3,2,2,2,3,2,1,2,2,3,5,2,1,2,3,2,0,2,3,2,1,3,3,2,3,3,1,2,2,1,1,4,2,6,2,1,3,1,3,4,2,1,5,3,3,2,5,2,2,1,7,2,4,2,4,2,4,3,4,3,1,4,5,3,2,1,5,3,7,2,5,1,3,2,3,2,0,2,2,3,6,4,2,3,1,2,2,0,4,3,4,3,1,1,1,2,2,2,3,4,6,5,2,1,7,5,4,1,5,4,2,2,3,3,1,3,5,3,4,4,3,4,1,4,2,1,3,1,4,4,4,2,3,5,2,3,3,1,2,1,3,1,3,3,1,4,5,3,2,2,3,2,1,2,2,2,7,1,3,3,4,1,4,5,3,3,4,1,5,2,5,3,2,3,3,3,3,3,2,3,3,3,2,0,3,4,5,5,4,5,3,4,2,2,2,2,1,2,2,2,1,2,2,5,4,3,2,2,2,3,3
"everi",2,3,2,3,3,3,2,2,1,1,3,1,2,1,3,3,1,3,2,2,2,1,1,3,2,0,2,4,3,2,2,1,2,2,1,2,2,4,4,2,2,4,3,3,2,2,2,4,2,0,1,3,2,2,1,6,2,4,3,3,1,2,2,2,3,1,3,5,4,2,1,4,2,4,2,6,3,3,1,2,3,1,3,2,4,6,3,0,3,2,4,2,0,5,1,4,3,3,2,1,2,1,2,3,3,3,4,2,3,5,5,4,2,6,4,1,3,3,3,2,2,4,2,3,2,1,4,0,3,2,1,4,1,5,5,4,2,3,6,3,2,3,1,1,1,5,1,1,0,2,3,4,2,2,3,2,1,3,3,1,2,5,2,1,3,4,2,3,4,2,4,4,2,3,3,3,2,2,2,3,2,1,2,3,3,1,3,2,3,0,3,3,5,5,3,3,3,4,3,3,2,2,2,4,2,2,2,4,4,4,4,2,3,2,3,2
"feel",1,4,1,4,1,2,0,2,1,2,2,0,1,1,3,3,2,2,3,1,3,1,2,5,2,1,1,3,3,4,1,1,1,3,0,1,5,3,5,1,2,3,3,1,5,1,1,2,4,3,2,5,1,0,1,7,2,4,2,4,1,2,2,3,3,2,3,6,5,2,2,6,3,6,1,6,3,3,3,2,3,2,3,0,3,6,6,2,3,1,3,3,1,4,4,6,4,1,1,2,1,3,2,3,4,6,5,2,2,7,6,5,3,6,3,1,3,4,4,3,4,4,2,5,4,2,5,2,4,0,2,5,1,5,5,6,3,4,6,4,2,4,3,3,3,4,3,4,3,3,5,5,2,4,3,4,3,3,2,3,1,6,2,2,4,4,4,2,4,5,4,4,4,5,3,5,3,3,3,2,3,4,4,3,3,4,3,4,4,3,0,5,6,4,3,5,6,3,3,4,3,3,3,3,5,3,5,1,5,4,3,4,3,4,3,5
"good",1,3,1,3,1,1,0,2,1,2,2,0,1,1,3,3,2,1,2,1,2,0,1,4,3,1,1,2,2,4,3,0,1,3,0,0,4,3,6,1,1,1,1,1,5,1,0,4,2,3,3,5,0,0,0,7,1,3,1,3,1,2,1,4,3,2,2,4,3,1,1,5,2,6,0,5,1,3,3,1,2,1,2,0,2,6,4,2,2,0,2,3,0,3,3,5,3,1,1,1,0,2,2,5,4,6,5,2,1,6,4,3,2,5,3,1,2,3,3,2,3,4,2,5,3,2,4,1,3,0,2,5,0,5,5,4,2,3,5,3,2,2,1,3,1,4,2,4,3,2,5,6,1,3,2,3,2,1,1,2,0,6,2,4,5,4,2,4,4,4,2,3,2,5,2,6,3,2,3,2,3,4,2,2,3,3,4,3,5,3,5,0,4,5,3,4,5,1,2,2,2,3,4,1,3,3,3,1,6,3,2,3,2,3,3,4
"old",2,3,2,4,2,4,2,3,1,2,3,1,2,2,4,4,2,3,4,3,3,1,3,4,1,0,3,5,4,3,1,2,2,3,1,2,5,4,5,2,2,5,4,3,4,2,2,4,4,2,2,5,3,2,2,8,2,6,3,5,1,3,3,3,4,1,4,7,6,3,2,7,4,7,3,7,4,4,2,3,3,2,4,2,5,7,6,2,5,2,4,2,1,5,3,6,4,2,2,2,3,2,3,3,4,6,5,2,3,8,7,6,2,8,4,2,4,4,4,3,4,5,3,4,4,2,5,2,4,2,2,4,2,5,5,6,2,5,7,4,2,5,3,2,3,5,3,3,2,3,4,5,4,3,4,5,3,4,3,2,3,7,2,1,3,5,3,3,5,4,6,6,3,5,3,5,3,4,3,4,3,3,4,4,3,3,3,3,5,5,6,4,0,5,5,5,5,5,4,4,3,2,3,5,4,2,4,3,5,5,4,3,4,3,3,4
"review",1,3,2,3,3,2,1,1,1,1,3,0,1,0,4,2,1,3,1,1,2,1,1,3,2,0,1,3,3,2,2,1,1,3,1,1,3,4,6,1,2,3,3,2,4,2,1,4,1,1,2,3,1,1,1,7,1,3,3,2,1,1,1,2,3,1,2,4,3,2,1,5,2,5,1,5,3,3,1,1,3,1,2,1,3,6,4,1,2,2,4,3,0,4,1,5,3,3,2,1,1,1,2,4,4,5,5,1,3,6,4,3,2,6,3,1,2,2,2,2,1,4,2,4,2,0,4,0,3,1,2,5,0,6,6,4,2,4,5,3,2,3,1,1,1,5,1,2,1,2,5,6,1,2,2,2,2,3,3,1,1,6,2,3,4,3,2,5,4,4,4,3,2,4,2,4,1,3,2,2,1,2,2,3,4,1,3,2,4,5,4,5,5,0,3,4,4,3,2,2,1,2,4,3,2,2,2,3,6,3,3,2,3,2,2,3
"shape",1,1,1,2,1,3,2,2,1,2,2,1,2,2,3,4,2,1,2,3,2,0,2,2,1,0,3,3,2,2,1,1,2,1,1,1,3,2,4,2,1,3,1,3,2,2,1,4,2,2,2,4,2,2,1,5,1,4,2,3,1,3,2,2,3,0,3,4,3,2,1,4,3,5,2,4,1,3,1,2,1,0,2,2,3,4,3,2,3,1,2,0,0,3,2,3,2,1,1,1,2,1,2,2,2,4,3,1,1,5,4,3,0,5,3,2,2,2,2,1,2,3,3,2,3,2,3,1,3,2,0,1,1,3,3,3,1,2,4,2,2,3,1,1,1,3,1,1,1,1,2,3,3,1,2,3,2,1,2,1,2,5,1,1,1,3,0,3,4,1,3,4,0,3,1,3,2,2,2,3,2,2,2,2,2,2,2,1,5,3,3,3,5,3,0,3,3,2,2,1,1,0,1,2,1,0,1,2,3,3,2,1,2,1,2,2
"watch",1,3,1,3,1,1,0,3,0,1,2,0,1,1,4,2,2,1,2,1,4,1,1,5,1,0,1,2,3,4,0,0,1,3,0,1,3,4,5,1,2,3,2,1,5,1,2,2,2,3,3,4,0,0,1,6,2,3,2,3,1,2,0,2,4,2,1,4,4,2,1,6,2,4,0,4,2,2,3,0,2,2,3,1,4,4,4,3,3,2,3,1,1,4,2,4,3,1,0,3,0,2,2,3,4,4,4,2,2,5,4,3,1,5,2,1,4,3,4,2,2,4,2,4,2,2,4,2,3,1,1,4,1,4,4,4,2,4,5,4,1,3,2,2,2,5,2,2,1,3,4,3,1,3,4,3,4,2,2,3,1,4,2,1,4,2,2,2,3,3,3,3,2,3,2,3,2,2,2,2,2,4,2,3,3,2,2,3,3,3,5,4,5,4,3,0,5,2,2,3,2,2,2,2,4,2,3,2,5,4,3,4,4,4,2,4
"work",1,4,1,3,1,1,0,2,1,2,2,0,1,1,3,3,2,1,2,1,3,1,1,5,2,1,1,2,3,4,1,0,1,3,0,1,4,3,5,1,2,2,2,1,5,1,1,2,3,3,2,5,0,0,0,6,2,3,2,3,1,2,1,2,3,2,2,5,4,2,1,5,2,5,0,5,2,2,3,1,3,1,3,0,3,5,5,2,2,1,3,2,0,4,3,5,4,1,0,2,0,3,2,3,4,5,5,2,2,6,5,4,2,5,3,1,3,4,4,2,3,4,2,5,3,2,5,1,4,0,1,4,0,5,5,5,3,3,5,4,2,3,2,3,2,4,2,3,2,3,5,4,1,4,3,3,3,2,2,3,0,5,2,2,4,3,3,2,4,4,3,3,3,4,3,4,3,2,3,2,3,4,3,3,3,3,3,4,4,3,6,5,5,4,3,5,0,2,2,3,2,2,2,2,4,2,4,1,5,4,3,4,3,4,3,5
"across",2,2,2,3,2,3,2,2,1,1,2,1,1,1,2,2,0,3,3,2,1,1,2,2,0,0,2,4,3,1,1,2,1,2,1,2,3,3,2,1,1,4,4,2,2,1,2,2,3,0,0,2,3,2,2,5,2,4,2,4,1,2,3,2,2,1,3,5,4,2,1,4,2,4,3,5,4,2,1,3,3,2,3,2,4,5,4,0,4,2,3,2,1,4,1,4,3,2,2,1,3,1,2,1,3,3,3,2,3,5,5,5,2,5,3,1,3,3,3,2,3,4,1,2,2,1,3,1,2,2,2,3,2,3,3,4,1,4,5,2,1,3,2,1,2,3,2,2,1,2,2,3,3,2,3,3,1,4,2,1,3,4,1,0,2,4,3,1,3,3,5,4,3,3,3,3,2,3,2,3,2,1,3,3,2,1,2,2,2,4,3,1,5,3,2,2,2,0,3,4,3,2,2,5,3,2,3,3,3,4,4,2,3,2,2,2
"clear",1,1,0,1,2,2,1,2,0,1,0,1,1,2,0,2,1,3,3,2,2,1,2,2,1,0,2,2,2,1,2,1,1,2,0,2,2,3,3,1,1,3,2,1,2,0,2,3,4,1,2,2,2,1,1,5,2,3,1,3,0,2,2,4,1,0,2,4,4,2,1,4,2,3,2,5,2,3,1,2,1,1,3,1,3,5,3,1,3,1,1,3,1,2,2,4,2,2,2,2,2,2,1,2,2,2,2,1,1,4,4,4,3,5,4,1,3,3,3,1,3,3,1,2,2,2,2,2,2,1,1,3,2,2,2,3,1,3,5,2,0,3,3,1,3,3,2,2,2,2,1,2,3,2,3,3,2,2,1,2,2,5,3,1,3,4,2,1,4,2,3,3,2,2,2,4,2,1,1,2,2,1,3,2,2,2,2,2,2,3,3,2,4,2,2,2,2,3,0,3,2,2,2,3,3,2,3,3,3,3,2,2,2,2,4,2
"control",2,3,1,4,1,2,1,3,1,1,1,1,1,1,2,2,0,2,3,1,2,1,1,4,1,1,1,3,2,3,2,1,1,2,0,2,3,3,3,1,1,4,3,1,4,0,3,1,4,2,1,3,2,1,2,6,4,3,1,5,2,3,3,4,3,3,3,5,4,1,1,5,1,4,2,5,3,1,3,3,3,3,3,2,4,5,4,1,4,2,2,3,2,5,2,4,3,1,1,2,2,2,1,1,4,3,3,4,2,5,5,5,3,4,3,0,4,4,5,2,4,5,0,3,2,3,3,2,2,2,2,5,3,3,3,4,2,5,6,2,1,2,2,2,2,3,2,3,2,2,3,3,2,3,4,3,2,3,1,3,3,4,1,1,4,4,4,0,3,4,4,3,4,3,4,4,3,2,2,2,3,3,3,2,3,2,2,3,2,3,4,2,4,2,1,3,3,4,3,0,5,4,2,4,5,4,4,3,4,5,5,4,4,4,3,3
"explor",2,2,1,4,0,2,1,3,1,1,1,1,1,1,2,2,0,1,3,1,1,0,1,3,1,1,1,3,1,3,2,1,1,1,0,1,3,2,2,1,0,3,2,1,3,0,2,1,3,2,1,3,2,1,2,5,3,3,0,5,2,3,3,4,3,3,3,4,3,0,1,4,1,4,2,4,2,1,3,3,2,3,2,2,3,4,3,1,4,1,1,2,2,4,2,3,2,0,1,1,2,1,1,1,3,3,2,4,1,4,4,4,2,3,2,0,3,3,4,2,4,4,0,2,2,3,2,2,1,2,2,4,3,2,2,3,1,4,5,1,1,1,1,2,1,2,2,3,2,1,2,3,2,2,3,3,1,2,0,2,3,3,0,1,3,4,3,0,2,3,3,3,3,3,3,4,3,2,2,2,3,3,2,1,2,2,2,2,2,2,3,2,3,1,1,2,2,3,2,5,0,4,2,3,4,4,3,2,3,4,4,3,3,3,2,2
"happen",1,2,1,4,1,1,0,2,1,1,1,0,0,0,2,1,0,2,2,0,1,0,1,3,2,1,0,2,1,3,2,1,0,1,0,0,3,3,3,0,0,2,2,0,3,0,1,1,2,2,2,2,1,0,2,5,2,2,0,4,2,2,2,4,2,3,2,3,2,0,1,3,1,3,1,4,2,2,3,2,2,3,1,1,2,4,3,1,3,1,1,3,2,3,2,4,2,1,2,1,1,1,1,2,3,3,2,3,1,3,3,3,3,3,2,0,2,2,3,2,3,3,0,2,2,2,2,2,1,1,2,5,2,3,3,3,1,3,5,1,1,1,1,2,1,3,2,3,2,1,2,4,1,2,2,2,1,2,0,2,2,3,1,2,4,4,3,1,2,3,2,2,3,3,2,4,2,2,2,1,2,3,2,1,3,2,3,2,1,2,3,3,2,2,0,2,2,2,2,4,4,0,3,2,4,5,3,2,4,3,3,3,2,3,2,2
"isnt",1,1,1,2,1,1,0,1,0,0,1,0,0,0,2,0,0,2,2,0,0,0,1,1,1,0,0,2,1,1,2,1,0,2,0,0,3,2,3,0,0,1,2,0,3,0,0,2,1,1,2,2,1,0,1,5,0,2,0,2,0,0,1,3,2,1,1,2,2,0,1,4,1,4,1,3,2,2,1,1,1,2,1,0,1,4,3,1,2,0,1,3,1,1,1,4,1,1,2,0,1,0,1,3,2,4,2,1,1,4,2,2,2,4,1,0,1,1,1,2,2,2,0,2,1,0,1,1,0,0,3,4,1,3,3,2,0,4,3,1,0,1,1,1,1,2,2,3,2,1,3,5,1,1,1,3,1,2,0,0,1,4,1,3,3,3,2,3,2,4,3,2,2,3,1,5,1,3,1,1,1,2,1,1,2,1,2,1,2,2,3,4,3,4,1,2,2,2,2,2,2,3,0,2,2,3,2,1,4,1,1,1,2,1,1,2
"least",2,2,2,3,2,3,2,2,1,1,2,1,1,1,2,2,0,3,3,2,1,1,2,2,0,0,2,4,3,1,1,2,1,2,1,2,3,3,2,1,1,4,4,2,2,1,2,2,3,0,0,2,3,2,2,5,2,4,2,4,1,2,3,2,2,1,3,5,4,2,1,4,2,4,3,5,4,2,1,3,3,2,3,2,4,5,4,0,4,2,3,2,1,4,1,4,3,2,2,1,3,1,2,1,3,3,3,2,3,5,5,5,2,5,3,1,3,3,3,2,3,4,1,2,2,1,3,1,2,2,2,3,2,3,3,4,1,4,5,2,1,3,2,1,2,3,2,2,1,2,2,3,3,2,3,3,1,4,2,1,3,4,1,0,2,4,3,1,3,3,5,4,3,3,3,3,2,3,2,3,2,1,3,3,2,1,2,2,2,4,3,1,5,3,2,2,2,5,3,4,3,2,2,0,3,2,3,3,3,4,4,2,3,2,2,2
"live",1,3,1,4,1,1,0,3,1,2,1,0,0,1,2,2,1,2,3,1,3,1,2,5,1,1,1,2,3,4,1,1,0,3,0,1,4,4,4,0,1,3,3,0,5,0,2,1,4,3,2,3,1,0,2,6,3,3,1,5,2,3,2,4,2,3,2,5,4,2,1,5,2,4,1,5,3,2,4,2,3,3,3,1,4,5,5,2,4,2,2,3,2,4,3,5,4,1,1,3,1,3,2,2,5,4,4,3,2,5,5,5,3,4,3,1,4,4,5,2,4,5,1,4,3,3,4,3,3,1,2,5,2,3,3,5,2,4,6,3,1,3,3,3,3,4,3,4,3,3,3,3,2,4,4,3,3,3,1,4,2,4,2,1,5,4,4,0,3,4,3,3,4,4,3,4,3,2,3,2,3,4,4,3,3,3,3,4,2,2,5,3,4,2,1,4,4,3,3,5,4,4,2,3,0,4,5,2,5,5,4,5,3,5,3,4
"power",1,2,1,4,1,1,0,2,1,1,1,0,0,0,2,1,0,2,2,0,1,0,1,3,2,1,0,2,1,3,2,1,0,1,0,0,3,3,3,0,0,2,2,0,3,0,1,1,2,2,2,2,1,0,2,5,2,2,0,4,2,2,2,4,2,3,2,3,2,0,1,3,1,3,1,4,2,2,3,2,2,3,1,1,2,4,3,1,3,1,1,3,2,3,2,4,2,1,2,1,1,1,1,2,3,3,2,3,1,3,3,3,3,3,2,0,2,2,3,2,3,3,0,2,2,2,2,2,1,1,2,5,2,3,3,3,1,3,5,1,1,1,1,2,1,3,2,3,2,1,2,4,1,2,2,2,1,2,0,2,2,3,1,2,4,4,3,1,2,3,2,2,3,3,2,4,2,2,2,1,2,3,2,1,3,2,3,2,1,2,3,3,2,2,0,2,2,2,2,4,4,5,3,2,4,0,3,2,4,3,3,3,2,3,2,2
"stori",1,3,1,3,1,1,0,2,1,2,1,0,0,1,1,2,1,2,3,1,2,1,2,4,1,1,1,2,3,3,1,1,0,3,0,1,4,3,3,0,1,2,3,0,4,0,1,1,4,2,1,3,1,0,1,5,2,3,1,4,1,2,2,3,1,2,2,5,4,2,1,4,2,4,1,5,3,2,3,2,3,2,3,0,3,5,5,1,3,1,2,3,1,3,3,5,4,1,1,2,1,3,2,2,4,4,4,2,2,5,5,5,3,4,3,1,3,4,4,2,4,4,1,4,3,2,4,2,3,0,2,4,1,3,3,5,2,3,5,3,1,3,3,3,3,3,3,4,3,3,3,3,2,4,3,3,2,3,1,3,1,4,2,1,4,4,4,0,3,4,3,3,4,4,3,4,3,2,3,2,3,3,4,3,2,3,3,4,2,2,5,3,4,2,1,3,4,3,3,4,3,3,2,3,5,3,0,1,4,4,3,4,2,4,3,4
"credit",1,1,1,2,3,2,2,2,1,1,1,1,1,1,2,2,0,3,1,2,2,1,1,2,1,0,2,2,2,1,2,1,1,1,1,2,1,4,4,1,1,4,2,2,2,1,3,3,2,1,2,1,2,2,2,5,3,2,2,3,2,3,2,3,2,1,2,3,2,2,0,3,1,2,2,4,2,2,1,2,2,1,2,3,4,4,2,1,3,3,2,2,1,4,0,3,2,3,2,2,2,1,1,1,3,1,2,2,2,3,3,3,2,4,4,1,3,2,3,0,1,4,1,1,1,2,2,1,2,3,0,3,2,3,3,2,1,3,5,1,1,2,1,0,1,4,0,0,0,1,1,2,2,1,3,1,2,2,2,2,3,4,2,1,3,3,1,2,4,1,3,2,1,1,2,2,1,1,1,2,1,1,2,2,4,0,2,1,2,4,1,1,3,3,2,2,1,3,3,3,2,2,1,3,2,2,1,0,4,4,4,2,3,2,3,1
"imag",1,3,2,4,3,1,1,3,2,3,2,0,0,1,4,3,1,3,2,2,3,1,2,5,2,1,2,2,4,4,3,1,0,4,1,1,5,6,8,0,1,3,3,1,7,1,2,4,3,4,4,4,1,1,2,9,3,3,2,5,3,4,2,5,3,3,2,5,3,3,0,6,2,6,1,6,3,3,4,2,4,2,3,2,5,7,6,3,4,3,3,4,1,5,2,7,5,3,2,3,1,3,3,4,7,6,6,3,3,7,5,5,3,6,5,2,4,4,5,1,3,7,2,5,3,3,5,2,4,2,2,6,1,6,6,5,2,5,7,3,2,3,2,3,2,6,2,4,3,3,5,6,2,4,4,3,4,3,2,4,2,7,3,4,7,5,3,4,6,5,4,3,3,5,3,6,3,3,4,3,3,5,4,4,6,2,5,4,5,4,5,6,5,6,3,5,5,3,3,4,3,4,4,3,5,4,4,4,0,6,5,5,4,5,4,5
"mission",2,3,2,4,2,2,2,4,2,3,2,1,1,2,3,4,1,2,3,3,3,1,2,5,1,1,3,3,4,4,2,1,1,3,1,2,4,5,5,1,1,4,3,2,5,1,3,3,4,3,2,4,2,2,2,7,4,4,2,6,3,5,3,4,3,3,3,6,4,3,0,5,2,5,2,6,3,2,4,3,4,2,4,3,6,6,5,2,5,3,3,2,1,6,2,5,5,2,1,3,2,3,3,2,6,4,5,4,3,6,6,6,2,5,5,2,5,5,6,1,4,7,2,4,3,4,5,2,4,3,1,4,2,4,4,5,2,4,7,3,2,3,2,3,2,5,2,3,2,3,3,3,3,4,5,3,3,3,2,4,3,5,2,1,5,5,3,1,5,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,3,5,3,3,4,4,4,3,5,4,3,1,4,5,3,4,4,6,0,6,5,4,5,4,4
"nasa",2,3,2,4,2,2,2,3,2,2,2,1,1,1,3,3,0,2,2,2,2,1,1,4,1,1,2,3,3,3,2,1,1,2,1,2,3,4,4,1,1,4,3,2,4,1,3,2,3,2,1,3,2,2,2,6,4,3,2,5,3,4,3,3,3,3,3,5,3,2,0,4,1,4,2,5,3,1,3,3,4,2,3,3,5,5,4,1,4,3,3,2,1,6,1,4,4,2,1,2,2,2,2,1,5,3,4,4,3,5,5,5,2,4,4,1,4,4,5,1,3,6,1,3,2,3,4,1,3,3,1,4,2,4,4,4,2,4,6,2,2,2,1,2,1,4,1,2,1,2,3,3,2,3,4,2,2,3,2,3,3,4,1,1,4,4,3,1,4,3,4,3,3,3,4,3,3,2,3,3,3,3,3,3,4,1,3,3,3,4,3,2,4,3,2,3,3,4,2,5,4,3,1,4,4,3,3,4,5,6,0,4,4,4,3,3
"astronaut",1,3,1,3,1,0,0,3,1,2,1,0,0,1,2,2,1,1,2,1,3,1,1,5,1,1,1,1,3,4,1,0,0,3,0,1,3,4,4,0,1,2,2,0,5,0,2,1,3,3,2,3,0,0,1,5,3,2,1,4,2,3,1,3,2,3,1,4,3,2,0,4,1,3,0,4,2,1,4,1,3,2,3,1,4,4,4,2,3,2,2,2,1,4,2,4,4,1,0,3,0,3,2,2,5,3,4,3,2,4,4,4,2,3,3,1,4,4,5,1,3,5,1,4,2,3,4,2,3,1,1,4,1,3,3,4,2,3,5,3,1,2,2,3,2,4,2,3,2,3,3,2,1,4,4,2,3,2,1,4,1,3,2,1,5,3,3,0,3,3,2,2,3,3,3,3,3,1,3,2,3,4,3,3,3,2,3,4,2,2,4,3,3,2,1,4,4,2,2,4,3,3,1,2,5,3,4,2,5,5,4,0,3,5,3,4
"hour",2,2,1,2,1,1,1,3,0,0,1,1,1,1,3,1,0,1,2,1,2,1,0,3,0,0,1,2,2,2,1,0,1,2,0,2,2,3,3,1,1,3,2,1,4,0,3,1,2,2,2,3,1,1,1,5,3,2,1,3,1,2,1,2,4,2,1,3,3,1,0,5,0,3,1,3,2,0,2,1,2,2,3,2,4,3,3,2,3,2,2,1,1,4,0,3,2,1,0,2,1,1,1,1,3,2,2,3,2,4,3,3,1,4,2,0,4,3,4,1,2,4,0,2,0,2,2,1,1,2,1,3,2,3,3,2,1,5,4,2,0,1,1,1,1,3,1,1,0,2,3,2,1,2,4,3,3,2,1,2,2,3,1,1,3,2,2,1,3,3,4,2,2,1,3,3,2,2,1,2,2,3,1,2,3,0,1,2,2,3,3,2,4,3,2,4,3,3,2,4,3,2,2,3,3,2,2,3,4,4,4,3,0,3,2,3
"man",1,3,1,3,1,0,0,3,1,2,1,0,0,1,2,2,1,1,2,1,3,1,1,5,1,1,1,1,3,4,1,0,0,3,0,1,3,4,4,0,1,2,2,0,5,0,2,1,3,3,2,3,0,0,1,5,3,2,1,4,2,3,1,3,2,3,1,4,3,2,0,4,1,3,0,4,2,1,4,1,3,2,3,1,4,4,4,2,3,2,2,2,1,4,2,4,4,1,0,3,0,3,2,2,5,3,4,3,2,4,4,4,2,3,3,1,4,4,5,1,3,5,1,4,2,3,4,2,3,1,1,4,1,3,3,4,2,3,5,3,1,2,2,3,2,4,2,3,2,3,3,2,1,4,4,2,3,2,1,4,1,3,2,1,5,3,3,0,3,3,2,2,3,3,3,3,3,1,3,2,3,4,3,3,3,2,3,4,2,2,4,3,3,2,1,4,4,2,2,4,3,3,1,2,5,3,4,2,5,5,4,5,3,0,3,4
"part",1,2,0,1,2,1,1,2,1,2,0,1,1,2,0,3,1,2,2,2,2,1,1,3,2,1,2,1,2,2,3,0,1,2,0,2,2,3,4,1,1,2,1,1,3,0,2,3,4,2,2,3,1,1,0,5,3,2,1,3,1,3,2,4,1,1,2,4,3,2,0,3,1,3,1,5,1,2,2,2,2,0,3,1,3,5,3,1,2,1,1,3,0,3,2,4,3,2,1,2,1,3,1,2,3,2,3,2,1,4,4,4,3,4,5,1,3,4,4,0,3,4,1,3,2,3,3,1,3,1,0,3,1,3,3,3,2,2,5,2,1,2,2,2,2,3,1,2,2,2,2,2,2,3,3,2,2,1,1,3,1,5,3,2,4,4,2,1,5,2,2,2,2,2,3,4,3,0,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,2,2,2,3,2,4,3,2,2,1,2,3,2,3,3,4,4,3,3,2,3,0,3
"read",1,3,1,2,1,0,0,2,1,2,1,0,0,1,2,2,1,1,2,1,2,1,1,4,1,1,1,1,3,3,1,0,0,3,0,1,4,3,4,0,1,1,2,0,5,0,1,1,3,3,2,4,0,0,0,5,2,2,1,3,1,2,1,2,2,2,1,4,3,2,0,4,1,4,0,4,2,1,3,1,3,1,3,0,3,4,5,2,2,1,2,2,0,3,2,5,4,1,0,2,0,3,2,2,4,4,4,2,2,5,4,4,2,4,3,1,3,4,4,1,3,4,1,4,2,2,4,1,3,0,1,3,0,4,4,4,2,3,4,3,1,2,2,3,2,3,2,3,2,3,4,3,1,4,3,3,3,2,1,3,0,4,2,2,4,3,3,1,4,4,3,2,3,3,3,4,3,2,3,2,3,4,3,3,3,2,3,4,3,2,5,4,4,3,2,4,5,2,2,3,2,2,2,2,4,2,4,1,5,4,3,4,3,4,3,0
