"","Degree","Betweenness","Closeness","Eigenvector"
"also",24,0,0.00562,0.683
"first",24,0,0.00559,0.686
"made",24,0,0.00585,0.657
"make",24,0,0.00526,0.73
"one",24,0,0.00376,1
"possibl",24,0,0.0051,0.75
"remain",24,0,0.0061,0.632
"space",24,0,0.005,0.768
"star",24,0,0.00546,0.704
"two",24,0,0.00505,0.758
"way",24,0,0.00441,0.864
"year",24,0,0.00465,0.82
"can",24,0,0.00426,0.893
"even",24,0,0.00503,0.762
"just",24,0,0.00498,0.77
"know",24,0,0.00529,0.726
"like",24,0,0.00429,0.887
"long",24,0,0.00532,0.724
"might",24,0,0.00524,0.736
"point",24,0,0.0051,0.751
"still",24,0,0.00592,0.65
"time",24,0,0.00431,0.881
"cant",24,0,0.00575,0.671
"look",24,0,0.00485,0.79
"will",24,0,0.00575,0.671
